snapshot,demand_mw,wind_mw,wave_mw,tidal_mw,gas_mw,mainland_import_mw,mainland_export_mw,battery_main_net_mw,battery_secondary_net_mw,balance_residual_mw,cost_energy_wind,cost_energy_wave,cost_energy_tidal,cost_energy_gas,cost_energy_mainland,cost_energy_battery_main,cost_energy_battery_secondary,hourly_dispatched_energy_cost,weighted_hourly_energy_cost,scenario_id
2019-12-16 11:00:00,30.79570045,3.8793996240000013,2.3701504279760486,6.2500800000000005,10.0,-0.0,0.0,8.296070398023943,0.0,-7.105427357601002e-15,116.38198871999997,70.86749779648385,187.4398992,1500.0,-0.0,41.480351990119715,-0.0,1916.1697377066034,1916.1697377066034,R04
2019-12-16 12:00:00,30.62584125,3.553326963,2.191723629469696,3.1265579999999997,10.0,11.754232657530302,-0.0,0.0,0.0,-3.552713678800501e-15,106.59980889000002,65.53253652114391,93.76547441999999,1500.0,2350.8465315060603,-0.0,-0.0,4116.744351337204,4116.744351337204,R04
2019-12-16 13:00:00,30.65314005,4.317532505999999,2.048872788157097,0.5418659999999995,10.0,13.744868755842909,-0.0,0.0,0.0,3.552713678800501e-15,129.52597518,61.2612963658972,16.250561339999983,1500.0,2748.9737511685817,-0.0,-0.0,4456.011584054479,4456.011584054479,R04
2019-12-16 14:00:00,31.142243550000003,3.0965292789999994,1.919604713444405,0.14122376219999952,10.0,15.984885795355599,-0.0,0.0,0.0,0.0,92.89587837000002,57.39618093198771,4.235300628377986,1500.0,3196.97715907112,-0.0,-0.0,4851.504519001485,4851.504519001485,R04
2019-12-16 15:00:00,31.899026950000007,2.2288141569999995,1.7998069474276224,2.944584,10.0,1.1608218455723809,-0.0,13.754999999999999,0.01,-7.105427357601002e-15,66.86442471,53.8142277280859,88.30807415999999,1500.0,232.1643691144762,68.77499999999999,0.0,2009.926095712562,2009.926095712562,R04
2019-12-16 16:00:00,33.29543639999999,2.4106774189999993,1.690249052148167,7.067640000000001,10.0,0.15677141599176472,-0.0,11.960098512860064,0.01,7.105427357601002e-15,72.32032257000003,50.53844665923019,211.9585236,1500.0,31.354283198352945,59.80049256430032,0.0,1925.9720685918835,1925.9720685918835,R04
2019-12-16 17:00:00,33.5813155,2.9606905290000003,1.5950406338948713,7.2,10.0,-0.0,0.0,11.825584337105134,0.0,0.0,88.82071587000003,47.691714953456646,215.928,1500.0,-0.0,59.12792168552567,-0.0,1911.5683525089823,1911.5683525089823,R04
2019-12-16 18:00:00,33.0171403,2.094438128,1.516305677623448,5.627688,10.0,13.778708494376556,-0.0,0.0,0.0,7.105427357601002e-15,62.83314384000001,45.33753976094109,168.77436312,1500.0,2755.741698875311,-0.0,-0.0,4532.686745596252,4532.686745596252,R04
2019-12-16 19:00:00,32.269835650000005,1.5423138940000003,1.458059256416403,1.4265119999999996,10.0,4.077950499583601,-0.0,13.754999999999999,0.01,0.0,46.26941682000001,43.59597176685045,42.78109487999998,1500.0,815.5900999167202,68.77499999999999,0.0,2517.0115833835707,2517.0115833835707,R04
2019-12-16 20:00:00,30.793804699999992,0.8864787810000002,1.4191437990277287,0.06083051999999976,10.0,4.662351599972272,-0.0,13.754999999999999,0.01,1.0658141036401503e-14,26.594363429999998,42.43239959092909,1.8243072947999928,1500.0,932.4703199944544,68.77499999999999,0.0,2572.0963903101833,2572.0963903101833,R04
2019-12-16 21:00:00,28.214826400000003,0.15467126399999997,1.3956508178326845,0.8292623999999997,10.0,15.835241918167323,-0.0,0.0,0.0,3.552713678800501e-15,4.64013792,41.72995945319727,24.86957937599999,1500.0,3167.0483836334647,-0.0,-0.0,4738.288060382662,4738.288060382662,R04
2019-12-16 22:00:00,25.003046749999992,1.5661427979999998,1.3868572678344622,4.468272,10.0,7.581774684165536,-0.0,0.0,0.0,3.552713678800501e-15,46.98428393999999,41.46703230825042,134.00347728,1500.0,1516.354936833107,-0.0,-0.0,3238.8097303613577,3238.8097303613577,R04
2019-12-16 23:00:00,22.189753750000005,2.4341100260000004,1.3965646033911545,6.564000000000002,10.0,1.7950791206088403,-0.0,0.0,0.0,-1.0658141036401503e-14,73.02330078,41.757281641395515,196.85436000000004,1500.0,359.01582412176805,-0.0,-0.0,2170.6507665431636,2170.6507665431636,R04
2019-12-17 00:00:00,21.534961700000004,2.3551595219999997,1.4288461550062581,4.845599999999999,10.0,-0.0,0.0,2.8953560229937407,0.01,-7.105427357601002e-15,70.65478566,42.722500034687116,145.31954399999998,1500.0,-0.0,14.476780114968705,0.0,1773.1736098096558,1773.1736098096558,R04
2019-12-17 01:00:00,21.264248600000005,2.8902082069999997,1.4872288275065004,1.8964800000000002,10.0,-0.0,0.0,4.990331565493494,0.0,-1.0658141036401503e-14,86.70624621000002,44.46814194244436,56.875435200000005,1500.0,-0.0,24.95165782746747,-0.0,1713.001481179912,1713.001481179912,R04
2019-12-17 02:00:00,20.535522300000004,3.215215477,1.5720631679029184,0.13389121199999954,10.0,5.614352443097085,-0.0,0.0,0.0,0.0,96.45646431,47.00468872029726,4.015397447879986,1500.0,1122.8704886194168,-0.0,-0.0,2770.347039097594,2770.347039097594,R04
2019-12-17 03:00:00,19.929640599999995,1.7601412289999994,1.679848534223942,0.4683653399999996,10.0,6.021285496776065,-0.0,0.0,0.0,1.0658141036401503e-14,52.80423687,50.22747117329586,14.046276546599987,1500.0,1204.257099355213,-0.0,-0.0,2821.3350839451086,2821.3350839451086,R04
